address,direction,street,crossStreet,intersection,Latitude,Longitude
REISTERSTOWN RD & MENLO DR,N/B,Reisterstown ,Menlo Drive,"Reisterstown 
 & Menlo Drive",39.351985,-76.69637582
RUSSELL ST & BAYARD ST,S/B,Russell ,Bayard St,"Russell 
 & Bayard St",39.27346755,-76.62873851
LIBERTY HEIGHTS AVE & N DUKELAND ST,E/B,Liberty Hghts,Dukeland St,"Liberty Hghts
  & Dukeland St",39.32263937,-76.66663359
S HANOVER & REEDBIRD AVE,N/B,Hanover ,Reedbird Ave,"Hanover 
 & Reedbird Ave",39.24987977,-76.61374944
W FAYETTE ST & N LIBERTY ST,W/B,Fayette,Liberty Heights Ave,"Fayette
  & Liberty Heights Ave",39.29050389,-76.61766118
GWYNNS FLS & GARRISON BLVD,E/B,Gwynns Falls ,Garrison Blvd,"Gwynns Falls 
  & Garrison Blvd",39.31357929,-76.67622502
LOCH RAVEN BLVD & WALKER AVE,N/B,Loch Raven,Walker Ave,"Loch Raven
  & Walker Ave",39.37006029,-76.58317981
PULASKI HWY & MORAVIA PARK DR,W/B,Pulaski Hwy ,Moravia Park Drive,"Pulaski Hwy 
 & Moravia Park Drive",39.30864371,-76.53236586
HILLEN ST & FORREST ST,W/B,Hillen ,Forrest St,"Hillen 
 & Forrest St",39.29686016,-76.60553177
PULASKI HWY & NORTH POINT RD,E/B,Pulaski ,North Point Blvd,"Pulaski 
 & North Point Blvd",39.30432759,-76.53958002
N MONROE ST & W LAFAYETTE AVE,S/B,Monroe,Lafayette,"Monroe
 & Lafayette",39.29874269,-76.6475175
W MOUNT ROYAL AVE & W NORTH AVE,N/B,Mt Royal,North,"Mt Royal
 & North",39.31076728,-76.6247303
MOUNT ROYAL TER & W NORTH AVE,S/B,Mt Royal,North,"Mt Royal
 & North",39.31087064,-76.62512558
